count,CL_filter,xmt_control,zero
0.000000,-0.000016,0.150000,-0.000000
0.050000,-0.000028,0.150000,-0.000000
0.100000,0.000105,0.150000,-0.000000
0.150000,0.000689,0.150000,-0.000000
0.200000,0.001911,0.150000,-0.000000
0.250000,0.003547,0.150000,-0.000000
0.300000,0.004983,0.150000,-0.000000
0.350000,0.005765,0.150000,-0.000000
0.400000,0.005860,0.150000,-0.000000
0.450000,0.005580,0.150000,-0.000000
0.500000,0.005388,0.150000,-0.000000
0.550000,0.005630,0.150000,-0.000000
0.600000,0.006221,0.150000,-0.000000
0.650000,0.006671,0.150000,-0.000000
0.700000,0.006359,0.150000,-0.000000
0.750000,0.005269,0.150000,-0.000000
0.800000,0.004128,0.150000,-0.000000
0.850000,0.003735,0.150000,-0.000000
0.900000,0.004268,0.150000,-0.000000
0.950000,0.005052,0.150000,-0.000000
1.000000,0.005406,0.150000,-0.000000
1.050000,0.005200,0.150000,-0.000000
1.100000,0.004724,0.150000,-0.000000
1.150000,0.004499,0.150000,-0.000000
1.200000,0.004748,0.150000,-0.000000
1.250000,0.005178,0.150000,-0.000000
1.300000,0.005311,0.150000,-0.000000
1.350000,0.005028,0.150000,-0.000000
1.400000,0.004827,0.150000,-0.000000
1.450000,0.005048,0.150000,-0.000000
1.500000,0.005474,0.150000,-0.000000
1.550000,0.005831,0.150000,-0.000000
1.600000,0.006015,0.150000,-0.000000
1.650000,0.006109,0.150000,-0.000000
1.700000,0.006071,0.150000,-0.000000
1.750000,0.005670,0.150000,-0.000000
1.800000,0.004897,0.150000,-0.000000
1.850000,0.004130,0.150000,-0.000000
1.900000,0.003744,0.150000,-0.000000
1.950000,0.003834,0.150000,-0.000000
2.000000,0.003992,0.150000,-0.000000
2.050000,0.003877,0.150000,-0.000000
2.100000,0.003630,0.150000,-0.000000
2.150000,0.003534,0.150000,-0.000000
2.200000,0.003682,0.150000,-0.000000
2.250000,0.004062,0.150000,-0.000000
2.300000,0.004579,0.150000,-0.000000
2.350000,0.005259,0.150000,-0.000000
2.400000,0.005947,0.150000,-0.000000
2.450000,0.006271,0.150000,-0.000000
2.500000,0.006116,0.150000,-0.000000
2.550000,0.005639,0.150000,-0.000000
2.600000,0.005158,0.150000,-0.000000
2.650000,0.004797,0.150000,-0.000000
2.700000,0.004614,0.150000,-0.000000
2.750000,0.004632,0.150000,-0.000000
2.800000,0.004784,0.150000,-0.000000
2.850000,0.004883,0.150000,-0.000000
2.900000,0.004929,0.150000,-0.000000
2.950000,0.005059,0.150000,-0.000000
3.000000,0.005033,0.150000,-0.000000
3.050000,0.004418,0.150000,-0.000000
3.100000,0.003318,0.150000,-0.000000
3.150000,0.002316,0.150000,-0.000000
3.200000,0.002002,0.150000,-0.000000
3.250000,0.002304,0.150000,-0.000000
3.300000,0.003046,0.150000,-0.000000
3.350000,0.004029,0.150000,-0.000000
3.400000,0.004916,0.150000,-0.000000
3.450000,0.005283,0.150000,-0.000000
3.500000,0.005130,0.150000,-0.000000
3.550000,0.005043,0.150000,-0.000000
3.600000,0.005439,0.150000,-0.000000
3.650000,0.006208,0.150000,-0.000000
3.700000,0.007040,0.150000,-0.000000
3.750000,0.007667,0.150000,-0.000000
3.800000,0.007954,0.150000,-0.000000
3.850000,0.007718,0.150000,-0.000000
3.900000,0.007140,0.150000,-0.000000
3.950000,0.006595,0.150000,-0.000000
4.000000,0.006344,0.150000,-0.000000
4.050000,0.006324,0.150000,-0.000000
4.100000,0.006299,0.150000,-0.000000
4.150000,0.006128,0.150000,-0.000000
4.200000,0.005930,0.150000,-0.000000
4.250000,0.005884,0.150000,-0.000000
4.300000,0.006016,0.150000,-0.000000
4.350000,0.006139,0.150000,-0.000000
4.400000,0.005986,0.150000,-0.000000
4.450000,0.005557,0.150000,-0.000000
4.500000,0.005122,0.150000,-0.000000
4.550000,0.004871,0.150000,-0.000000
4.600000,0.005071,0.150000,-0.000000
4.650000,0.005833,0.150000,-0.000000
4.700000,0.006858,0.150000,-0.000000
4.750000,0.007450,0.150000,-0.000000
4.800000,0.006968,0.150000,-0.000000
4.850000,0.005793,0.150000,-0.000000
4.900000,0.004961,0.150000,-0.000000
4.950000,0.005055,0.150000,-0.000000
5.000000,0.005870,0.150000,-0.000000
5.050000,0.006589,0.150000,-0.000000
5.100000,0.006773,0.150000,-0.000000
5.150000,0.006464,0.150000,-0.000000
5.200000,0.005846,0.150000,-0.000000
5.250000,0.004994,0.150000,-0.000000
5.300000,0.004008,0.150000,-0.000000
5.350000,0.003208,0.150000,-0.000000
5.400000,0.002964,0.150000,-0.000000
5.450000,0.003226,0.150000,-0.000000
5.500000,0.003547,0.150000,-0.000000
5.550000,0.003638,0.150000,-0.000000
5.600000,0.003552,0.150000,-0.000000
5.650000,0.003456,0.150000,-0.000000
5.700000,0.003349,0.150000,-0.000000
5.750000,0.003140,0.150000,-0.000000
5.800000,0.003117,0.150000,-0.000000
5.850000,0.003730,0.150000,-0.000000
5.900000,0.004991,0.150000,-0.000000
5.950000,0.006314,0.150000,-0.000000
6.000000,0.007012,0.150000,-0.000000
6.050000,0.007021,0.150000,-0.000000
6.100000,0.006605,0.150000,-0.000000
6.150000,0.005943,0.150000,-0.000000
6.200000,0.005132,0.150000,-0.000000
6.250000,0.004400,0.150000,-0.000000
6.300000,0.003897,0.150000,-0.000000
6.350000,0.003708,0.150000,-0.000000
6.400000,0.003858,0.150000,-0.000000
6.450000,0.004330,0.150000,-0.000000
6.500000,0.004974,0.150000,-0.000000
6.550000,0.005314,0.150000,-0.000000
6.600000,0.005180,0.150000,-0.000000
6.650000,0.004966,0.150000,-0.000000
6.700000,0.005319,0.150000,-0.000000
6.750000,0.006366,0.150000,-0.000000
6.800000,0.007333,0.150000,-0.000000
6.850000,0.007385,0.150000,-0.000000
6.900000,0.006535,0.150000,-0.000000
6.950000,0.005602,0.150000,-0.000000
7.000000,0.005297,0.150000,-0.000000
7.050000,0.005434,0.150000,-0.000000
7.100000,0.005382,0.150000,-0.000000
7.150000,0.004713,0.150000,-0.000000
7.200000,0.003639,0.150000,-0.000000
7.250000,0.002660,0.150000,-0.000000
7.300000,0.002134,0.150000,-0.000000
7.350000,0.002187,0.150000,-0.000000
7.400000,0.002647,0.150000,-0.000000
7.450000,0.003277,0.150000,-0.000000
7.500000,0.004020,0.150000,-0.000000
7.550000,0.004647,0.150000,-0.000000
7.600000,0.004946,0.150000,-0.000000
7.650000,0.004981,0.150000,-0.000000
7.700000,0.005037,0.150000,-0.000000
7.750000,0.005265,0.150000,-0.000000
7.800000,0.005361,0.150000,-0.000000
7.850000,0.005182,0.150000,-0.000000
7.900000,0.004903,0.150000,-0.000000
7.950000,0.004645,0.150000,-0.000000
8.000000,0.004400,0.150000,-0.000000
8.050000,0.004215,0.150000,-0.000000
8.100000,0.004375,0.150000,-0.000000
8.150000,0.004987,0.150000,-0.000000
8.200000,0.005718,0.150000,-0.000000
8.250000,0.006245,0.150000,-0.000000
8.300000,0.006420,0.150000,-0.000000
8.350000,0.006307,0.150000,-0.000000
8.400000,0.006002,0.150000,-0.000000
8.450000,0.005849,0.150000,-0.000000
8.500000,0.006165,0.150000,-0.000000
8.550000,0.006793,0.150000,-0.000000
8.600000,0.007002,0.150000,-0.000000
8.650000,0.006355,0.150000,-0.000000
8.700000,0.005239,0.150000,-0.000000
8.750000,0.004585,0.150000,-0.000000
8.800000,0.004777,0.150000,-0.000000
8.850000,0.005556,0.150000,-0.000000
8.900000,0.006221,0.150000,-0.000000
8.950000,0.006522,0.150000,-0.000000
9.000000,0.006503,0.150000,-0.000000
9.050000,0.006271,0.150000,-0.000000
9.100000,0.005822,0.150000,-0.000000
9.150000,0.005197,0.150000,-0.000000
9.200000,0.004620,0.150000,-0.000000
9.250000,0.004503,0.150000,-0.000000
9.300000,0.004924,0.150000,-0.000000
9.350000,0.005591,0.150000,-0.000000
9.400000,0.005856,0.150000,-0.000000
9.450000,0.005296,0.150000,-0.000000
9.500000,0.004238,0.150000,-0.000000
9.550000,0.003304,0.150000,-0.000000
9.600000,0.003122,0.150000,-0.000000
9.650000,0.003702,0.150000,-0.000000
9.700000,0.004652,0.150000,-0.000000
9.750000,0.005431,0.150000,-0.000000
9.800000,0.005645,0.150000,-0.000000
9.850000,0.005368,0.150000,-0.000000
9.900000,0.004944,0.150000,-0.000000
9.950000,0.004776,0.150000,-0.000000
10.000000,0.005090,0.150000,-0.000000
10.050000,0.005583,0.150000,-0.000000
10.100000,0.005716,0.150000,-0.000000
10.150000,0.005144,0.150000,-0.000000
10.200000,0.004223,0.150000,-0.000000
10.250000,0.003571,0.150000,-0.000000
10.300000,0.003247,0.150000,-0.000000
10.350000,0.003079,0.150000,-0.000000
10.400000,0.003017,0.150000,-0.000000
10.450000,0.003299,0.150000,-0.000000
10.500000,0.003772,0.150000,-0.000000
10.550000,0.003927,0.150000,-0.000000
10.600000,0.003485,0.150000,-0.000000
10.650000,0.002816,0.150000,-0.000000
10.700000,0.002592,0.150000,-0.000000
10.750000,0.003148,0.150000,-0.000000
10.800000,0.004223,0.150000,-0.000000
10.850000,0.005093,0.150000,-0.000000
10.900000,0.005314,0.150000,-0.000000
10.950000,0.004935,0.150000,-0.000000
11.000000,0.004388,0.150000,-0.000000
11.050000,0.003976,0.150000,-0.000000
11.100000,0.003823,0.150000,-0.000000
11.150000,0.003947,0.150000,-0.000000
11.200000,0.004468,0.150000,-0.000000
11.250000,0.005185,0.150000,-0.000000
11.300000,0.005706,0.150000,-0.000000
11.350000,0.005674,0.150000,-0.000000
11.400000,0.005241,0.150000,-0.000000
11.450000,0.004932,0.150000,-0.000000
11.500000,0.005088,0.150000,-0.000000
11.550000,0.005384,0.150000,-0.000000
11.600000,0.005545,0.150000,-0.000000
11.650000,0.005542,0.150000,-0.000000
11.700000,0.005473,0.150000,-0.000000
11.750000,0.005247,0.150000,-0.000000
11.800000,0.004899,0.150000,-0.000000
11.850000,0.004870,0.150000,-0.000000
11.900000,0.005425,0.150000,-0.000000
11.950000,0.006008,0.150000,-0.000000
12.000000,0.005888,0.150000,-0.000000
12.050000,0.005051,0.150000,-0.000000
12.100000,0.004289,0.150000,-0.000000
12.150000,0.004412,0.150000,-0.000000
12.200000,0.005500,0.150000,-0.000000
12.250000,0.006921,0.150000,-0.000000
12.300000,0.007949,0.150000,-0.000000
12.350000,0.008170,0.150000,-0.000000
12.400000,0.007550,0.150000,-0.000000
12.450000,0.006492,0.150000,-0.000000
12.500000,0.005424,0.150000,-0.000000
12.550000,0.004707,0.150000,-0.000000
12.600000,0.004303,0.150000,-0.000000
12.650000,0.004081,0.150000,-0.000000
12.700000,0.003994,0.150000,-0.000000
12.750000,0.003992,0.150000,-0.000000
12.800000,0.004006,0.150000,-0.000000
12.850000,0.004090,0.150000,-0.000000
12.900000,0.004351,0.150000,-0.000000
12.950000,0.004858,0.150000,-0.000000
13.000000,0.005167,0.150000,-0.000000
13.050000,0.004944,0.150000,-0.000000
13.100000,0.004189,0.150000,-0.000000
13.150000,0.003438,0.150000,-0.000000
13.200000,0.003326,0.150000,-0.000000
13.250000,0.004139,0.150000,-0.000000
13.300000,0.005666,0.150000,-0.000000
13.350000,0.007313,0.150000,-0.000000
13.400000,0.008346,0.150000,-0.000000
13.450000,0.008429,0.150000,-0.000000
13.500000,0.007589,0.150000,-0.000000
13.550000,0.006348,0.150000,-0.000000
13.600000,0.005372,0.150000,-0.000000
13.650000,0.005129,0.150000,-0.000000
13.700000,0.005430,0.150000,-0.000000
13.750000,0.005696,0.150000,-0.000000
13.800000,0.005546,0.150000,-0.000000
13.850000,0.005061,0.150000,-0.000000
13.900000,0.004352,0.150000,-0.000000
13.950000,0.003573,0.150000,-0.000000
14.000000,0.003113,0.150000,-0.000000
14.050000,0.003388,0.150000,-0.000000
14.100000,0.004258,0.150000,-0.000000
14.150000,0.004935,0.150000,-0.000000
14.200000,0.004969,0.150000,-0.000000
14.250000,0.004570,0.150000,-0.000000
14.300000,0.004169,0.150000,-0.000000
14.350000,0.003932,0.150000,-0.000000
14.400000,0.003837,0.150000,-0.000000
14.450000,0.003929,0.150000,-0.000000
14.500000,0.004214,0.150000,-0.000000
14.550000,0.004484,0.150000,-0.000000
14.600000,0.004652,0.150000,-0.000000
14.650000,0.004830,0.150000,-0.000000
14.700000,0.005298,0.150000,-0.000000
14.750000,0.006062,0.150000,-0.000000
14.800000,0.006777,0.150000,-0.000000
14.850000,0.007128,0.150000,-0.000000
14.900000,0.007133,0.150000,-0.000000
14.950000,0.007011,0.150000,-0.000000
15.000000,0.006692,0.150000,-0.000000
15.050000,0.006044,0.150000,-0.000000
15.100000,0.005161,0.150000,-0.000000
15.150000,0.004580,0.150000,-0.000000
15.200000,0.004581,0.150000,-0.000000
15.250000,0.004958,0.150000,-0.000000
15.300000,0.005264,0.150000,-0.000000
15.350000,0.005248,0.150000,-0.000000
15.400000,0.005105,0.150000,-0.000000
15.450000,0.005186,0.150000,-0.000000
15.500000,0.005379,0.150000,-0.000000
15.550000,0.005325,0.150000,-0.000000
15.600000,0.004846,0.150000,-0.000000
15.650000,0.004215,0.150000,-0.000000
15.700000,0.003778,0.150000,-0.000000
15.750000,0.003583,0.150000,-0.000000
15.800000,0.003438,0.150000,-0.000000
15.850000,0.003218,0.150000,-0.000000
15.900000,0.002953,0.150000,-0.000000
15.950000,0.003002,0.150000,-0.000000
16.000000,0.003722,0.150000,-0.000000
16.050000,0.004803,0.150000,-0.000000
16.100000,0.005513,0.150000,-0.000000
16.150000,0.005404,0.150000,-0.000000
