count,CL_filter,xmt_control,zero
0.000000,-0.000011,0.150000,0.000000
0.050000,-0.000034,0.150000,0.000000
0.100000,0.000089,0.150000,0.000000
0.150000,0.000606,0.150000,0.000000
0.200000,0.001688,0.150000,0.000000
0.250000,0.002957,0.150000,0.000000
0.300000,0.003766,0.150000,0.000000
0.350000,0.003860,0.150000,0.000000
0.400000,0.003575,0.150000,0.000000
0.450000,0.003499,0.150000,0.000000
0.500000,0.003884,0.150000,0.000000
0.550000,0.004659,0.150000,0.000000
0.600000,0.005688,0.150000,0.000000
0.650000,0.006672,0.150000,0.000000
0.700000,0.007353,0.150000,0.000000
0.750000,0.007621,0.150000,0.000000
0.800000,0.007497,0.150000,0.000000
0.850000,0.007155,0.150000,0.000000
0.900000,0.006760,0.150000,0.000000
0.950000,0.006255,0.150000,0.000000
1.000000,0.005538,0.150000,0.000000
1.050000,0.004652,0.150000,0.000000
1.100000,0.004005,0.150000,0.000000
1.150000,0.003862,0.150000,0.000000
1.200000,0.004115,0.150000,0.000000
1.250000,0.004574,0.150000,0.000000
1.300000,0.005042,0.150000,0.000000
1.350000,0.005188,0.150000,0.000000
1.400000,0.004914,0.150000,0.000000
1.450000,0.004418,0.150000,0.000000
1.500000,0.004196,0.150000,0.000000
1.550000,0.004304,0.150000,0.000000
1.600000,0.004491,0.150000,0.000000
1.650000,0.004586,0.150000,0.000000
1.700000,0.004635,0.150000,0.000000
1.750000,0.004479,0.150000,0.000000
1.800000,0.003899,0.150000,0.000000
1.850000,0.003049,0.150000,0.000000
1.900000,0.002693,0.150000,0.000000
1.950000,0.003191,0.150000,0.000000
2.000000,0.003942,0.150000,0.000000
2.050000,0.004146,0.150000,0.000000
2.100000,0.003883,0.150000,0.000000
2.150000,0.003694,0.150000,0.000000
2.200000,0.003760,0.150000,0.000000
2.250000,0.003912,0.150000,0.000000
2.300000,0.004130,0.150000,0.000000
2.350000,0.004439,0.150000,0.000000
2.400000,0.004733,0.150000,0.000000
2.450000,0.004851,0.150000,0.000000
2.500000,0.004990,0.150000,0.000000
2.550000,0.005214,0.150000,0.000000
