count,CL_filter,xmt_control,zero
0.000000,-0.000023,0.150000,0.000000
0.050000,-0.000009,0.150000,0.000000
0.100000,0.000154,0.150000,0.000000
0.150000,0.000765,0.150000,0.000000
0.200000,0.001859,0.150000,0.000000
0.250000,0.003235,0.150000,0.000000
0.300000,0.004349,0.150000,0.000000
0.350000,0.004888,0.150000,0.000000
0.400000,0.005004,0.150000,0.000000
0.450000,0.005160,0.150000,0.000000
0.500000,0.005661,0.150000,0.000000
0.550000,0.006266,0.150000,0.000000
0.600000,0.006446,0.150000,0.000000
0.650000,0.005994,0.150000,0.000000
0.700000,0.005240,0.150000,0.000000
0.750000,0.004685,0.150000,0.000000
0.800000,0.004469,0.150000,0.000000
0.850000,0.004532,0.150000,0.000000
0.900000,0.004929,0.150000,0.000000
0.950000,0.005668,0.150000,0.000000
1.000000,0.006620,0.150000,0.000000
1.050000,0.007328,0.150000,0.000000
1.100000,0.007650,0.150000,0.000000
1.150000,0.007584,0.150000,0.000000
1.200000,0.007289,0.150000,0.000000
1.250000,0.006833,0.150000,0.000000
1.300000,0.006303,0.150000,0.000000
1.350000,0.005892,0.150000,0.000000
1.400000,0.005894,0.150000,0.000000
1.450000,0.006156,0.150000,0.000000
1.500000,0.006249,0.150000,0.000000
1.550000,0.005732,0.150000,0.000000
1.600000,0.004840,0.150000,0.000000
1.650000,0.004416,0.150000,0.000000
1.700000,0.004883,0.150000,0.000000
1.750000,0.005881,0.150000,0.000000
1.800000,0.006521,0.150000,0.000000
1.850000,0.006474,0.150000,0.000000
1.900000,0.006194,0.150000,0.000000
1.950000,0.006228,0.150000,0.000000
2.000000,0.006554,0.150000,0.000000
2.050000,0.006781,0.150000,0.000000
2.100000,0.006623,0.150000,0.000000
2.150000,0.006242,0.150000,0.000000
2.200000,0.006005,0.150000,0.000000
2.250000,0.006160,0.150000,0.000000
2.300000,0.006386,0.150000,0.000000
2.350000,0.006234,0.150000,0.000000
2.400000,0.005523,0.150000,0.000000
2.450000,0.004777,0.150000,0.000000
2.500000,0.004469,0.150000,0.000000
2.550000,0.004546,0.150000,0.000000
2.600000,0.004553,0.150000,0.000000
2.650000,0.004314,0.150000,0.000000
2.700000,0.004125,0.150000,0.000000
2.750000,0.004449,0.150000,0.000000
2.800000,0.005120,0.150000,0.000000
2.850000,0.005617,0.150000,0.000000
2.900000,0.005418,0.150000,0.000000
2.950000,0.004701,0.150000,0.000000
3.000000,0.004016,0.150000,0.000000
3.050000,0.003963,0.150000,0.000000
3.100000,0.004546,0.150000,0.000000
3.150000,0.005312,0.150000,0.000000
3.200000,0.005539,0.150000,0.000000
3.250000,0.005019,0.150000,0.000000
3.300000,0.004219,0.150000,0.000000
3.350000,0.003797,0.150000,0.000000
3.400000,0.003826,0.150000,0.000000
3.450000,0.004156,0.150000,0.000000
3.500000,0.004637,0.150000,0.000000
3.550000,0.005202,0.150000,0.000000
3.600000,0.005588,0.150000,0.000000
3.650000,0.005559,0.150000,0.000000
3.700000,0.005408,0.150000,0.000000
3.750000,0.005594,0.150000,0.000000
3.800000,0.005965,0.150000,0.000000
3.850000,0.006122,0.150000,0.000000
3.900000,0.005878,0.150000,0.000000
3.950000,0.005523,0.150000,0.000000
4.000000,0.005247,0.150000,0.000000
4.050000,0.004826,0.150000,0.000000
4.100000,0.004325,0.150000,0.000000
4.150000,0.004323,0.150000,0.000000
4.200000,0.005222,0.150000,0.000000
4.250000,0.006673,0.150000,0.000000
4.300000,0.007646,0.150000,0.000000
4.350000,0.007346,0.150000,0.000000
4.400000,0.005813,0.150000,0.000000
4.450000,0.003954,0.150000,0.000000
4.500000,0.002804,0.150000,0.000000
4.550000,0.002786,0.150000,0.000000
4.600000,0.003493,0.150000,0.000000
4.650000,0.004384,0.150000,0.000000
4.700000,0.005049,0.150000,0.000000
4.750000,0.005278,0.150000,0.000000
4.800000,0.005022,0.150000,0.000000
4.850000,0.004499,0.150000,0.000000
4.900000,0.003983,0.150000,0.000000
4.950000,0.003658,0.150000,0.000000
5.000000,0.003588,0.150000,0.000000
5.050000,0.003877,0.150000,0.000000
5.100000,0.004247,0.150000,0.000000
5.150000,0.004433,0.150000,0.000000
5.200000,0.004354,0.150000,0.000000
5.250000,0.004463,0.150000,0.000000
